"filename", "language", "JSON", "JSON with Comments", "Markdown", "HTML", "Vue", "TypeScript", "SCSS", "JavaScript", "wxml", "CSS", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\Buy\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\Buy\index.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\Buy\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\Buy\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\index.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Detail\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Category\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Category\index.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Category\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Category\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Search\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Search\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Search\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Search\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Slide\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Slide\index.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Slide\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\Slide\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\index.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Home\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Message\Inform\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Message\Inform\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Message\Inform\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Message\Inform\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
